place,info,문의 및 안내,주소,주차,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,접근로,출입통로,review,영업시간,휴일,대표메뉴,취급메뉴,홈페이지,이용시간,지정현황,입장료,체험가능 연령,화장실,체험 프로그램,이용 시기,주차 요금,이용요금,주요시설,장애인 주차 안내,지체장애 기타 상세,식음료장,부대시설,엘리베이터,객실,유아용보조의자,휠체어,수용인원,규모,수유실,판매 품목,시설이용료,체험프로그램,바비큐장여부,노래방 여부,세미나실 여부,유모차,점자 홍보물,"영유아가족
기타상세",이용가능시설,좌석수,주차요금,대중 교통,오디오 가이드,시각장애 기타상세
고향차밭골,"고향차밭골은 대구광역시 동구 송정동에 있다. 팔공산의 분위기 좋은 한정식 맛집으로, 정갈한 반찬과 건강한 한상차림이 특징이다. 1층과 2층으로 나뉘어 소규모부터 단체까지 이용 가능하며, 식사 후 차를 즐길 수 있는 공간도 마련되어 있어 여유로운 식사가 가능하다. 대표 메뉴는 차밭골정식이다. 고등어조림, 명태조림, 보쌈, 나물, 시래기된장국 등 여러 가지 음식이 상에 오른다. 파군재 IC에서 가깝고, 인근에 팔공산도립공원, 대구동화사, 팔공산케이블카가 있다.",,대구광역시 동구 팔공산로 339 (송정동),가능,,,,,,,,,"- 11:30~20:00
- 준비시간 15:00~16:00
- 마지막 주문 19:30",연중무휴,차밭골정식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청도돼지국밥,"청도돼지국밥은 대구광역시 남구 봉덕동에 있다. 진한 국물과 부드러운 고기가 일품인 돼지국밥 전문점이다. 봉덕시장 인근에서 맛 좋고 양도 많은 국밥을 파는 곳으로 이름 높다. 순대국밥과 곱창국밥 등 다양한 메뉴가 준비되어 있으며, 수육은 야들야들한 식감으로 인기가 많다. 북대구 IC와 파동 IC에서 가깝고, 주변에는 고산골 공룡공원, 아르떼 수성랜드가 있다.",,대구광역시 남구 대봉로 65 (봉덕동),,,,,,,,,,09:00~17:00,"매월 첫째, 셋째 일요일",돼지국밥,곱창국밥 / 순대따로국밥 / 수육 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대쿠이 본점,"대쿠이 본점은 대구광역시 남구 대명동에 있다. 이국적인 느낌의 외관과 차분한 분위기를 연출하는 인테리어가 돋보인다. 카츠 전문점으로, 안심, 등심, 목살로 구성된 모듬카츠가 인기 메뉴이다. 대구 지하철 1, 3호선 명덕역과 북대구 IC에서 가깝다. 인근에는 2.28 민주운동기념회관, 봉산문화거리, 헌책방골목이 있다.",,대구광역시 남구 중앙대로51길 38-2 (대명동),불가능,,,,,,,,,10:30~20:00,매주 화요일,쿠이 모듬 카츠,,http://www.instagram.com/daekui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호어모아,"대구 앞산 맛집으로 유명한 호어모아는 ‘요리하는 집’이라는 뜻으로, 다양한 파스타와 해산물 요리를 제공하는 레스토랑이다. 주택을 개조하여 운영하고 있으며, 내부는 오리지널 빈티지 컨셉으로 따뜻하고 포근한 분위기이다. 창 밖으로는 앞산의 푸릇한 전망도 감상할 수 있다.",,대구광역시 남구 안지랑로5길 88 (대명동),가능,,,,,,,,,"- 11:00~22:00
- 마지막 주문 21:00",연중무휴,버터갈릭 쉬림프,해산물 로제 / 핫칠리 쉬림프 / 투움바 파스타 등,http://www.instagram.com/hoamoa_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
까꾸리웰빙손칼국수,"까꾸리웰빙손칼국수는 대구스타디움 인근에 위치한 칼국수 전문점이다. 삼삼한 맛의 손칼국수와 고소한 촌두부, 바삭한 파전이 인기이다. 촌두부와 도토리묵은 야채무침과 조화롭게 어우러져 입맛을 돋우며, 손칼국수는 깔끔한 국물이 일품이다. 수육과 만두도 인기 메뉴로, 국내산 삼겹살을 사용해 부드럽고 풍미가 좋다.",,대구광역시 수성구 월드컵로5길 17 (대흥동),가능,,,,,,,,,"- 11:30~20:30
- 준비시간 15:00~17:00
- 마지막 주문 19:30",매주 월요일,손칼국수,파전 / 동태찌개 / 촌두부 / 수육 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김태희옛날손국수,"김태희옛날손국수는 대구광역시 달성군 비슬산 자락에 있다. 예스러운 외관과 깔끔한 분위기의 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 가지기 좋다. 오직 밀가루와 콩가루만을 배합해 숙성시킨 반죽으로 직접 면을 뽑아 사용한다. 콩국수는 콩가루가 많이 들어가 고소하고 시원하며, 들깨칼국수는 구수한 맛이 일품이다. 바싹불고기는 겉은 바삭하고 속은 촉촉하며, 해물파전과 수육도 인기 메뉴이다.",,대구광역시 달성군 옥포읍 옥포로 597,가능,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문/자동문),,"- 10:00~21:00
- 마지막 주문 20:00",매주 수요일,손칼국수,얼큰 해물칼국수 / 들깨칼국수 / 해물파전 등,,,,,,,,,,,,,의자식 테이블 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,
앞산울진대게 본점,"앞산울진대게 본점은 대게와 킹크랩이 특히 유명한 해산물 전문점이다. 깔끔한 외관과 차분한 분위기의 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 대규모 모임하기 좋다. 랍스터 코스와 해물라면도 인기 메뉴로, 신선한 재료와 푸짐한 양이 장점이다. 파동 IC에서 가깝고, 인근에 앞산해넘이전망대, 앞산카페거리, 안지랑곱창거리가 있어 식후에 둘러보기 좋다.",,대구광역시 남구 앞산순환로 559-1 (대명동),가능,,,,,,,,,11:30~22:30,연중무휴,대게,킹크랩 / 모등초밥 / 회덮밥 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거산 이가네더덕밥,"거산 이가네더덕밥은 더덕 해물 갈비찜, 갈비탕, 육회 비빔밥 등 다채로운 한식 메뉴를 선보이는 곳이다. 단독 건물에 현대적인 감각이 돋보이는 외관과 고급스러운 분위기를 연출하는 인테리어가 눈에 띈다. 각 메뉴마다 푸짐한 구성과 건강한 재료가 돋보이며, 특히 더덕을 활용한 요리들이 인상적이다. 내부에는 단체석이 마련되어 모임에도 적합하다. 주차장이 두 곳 있다. 서변IC에서 가깝고, 인근에 불로동고분군, 대구섬유박물관이 있다.",,대구광역시 북구 이곡길 35-41 (서변동),가능,,,,,,,,,"- 11:30~21:00
- 준비시간 15:00~17:00
- 마지막 주문 14:30, 20:30",,더덕 갈비탕 정식,더덕 육회 비빔밥 정식 / 더덕육회 / 매운 갈비찜 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기와집보쌈,"기와집보쌈은 대구광역시 북구 읍내동에 있다. 현대적인 외관과 깔끔한 분위기의 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대표 메뉴는 기와집보쌈이다. 대구 지하철 3호선 동천역과 칠곡 IC에서 가깝다. 인근에 운암지 수변공원, 신전뮤지엄이 있다.",,대구광역시 북구 대천로7길 6-10 (읍내동),가능,,,,,,,,맛있고 저렴해요 평일에도 손님 많더라구요,"- 11:00~22:00
- 준비시간 15:30~16:00
- 마지막 주문 21:00",매주 월요일,기와집보쌈,산더미 쟁반막국수 / 비빔막국수 / 칼국수 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유창반점,"유창반점 본점의 대표 메뉴인 중화비빔밥은 오징어와 소고기에 불맛을 입힌 후 채소, 양념을 넣고 볶은 밥이다. 중독성 깊은 맛을 내는 덕분에 계속 숟가락을 들게 만든다. 매콤한 맛이 특징인 중화비빔밥은 향신료의 풍미와 함께 다양한 재료가 어우러져 만족스러운 맛을 선사한다. 탕수육은 튀김옷이 얇고 고기가 촉촉해 인기가 높으며, 군만두도 바삭하고 고소해 좋은 평가를 받고 있다.",,대구광역시 중구 명륜로 20 (남산동),,,,,,,,,유창반점의 중화비빔밥이 유명하다고 해서 방문을 해보았습니다. 주차는 알아서 근처에 해야하고 주문하면 음식이 나온느 속도는 꽤 빠르고 조금 맵긴 하지만 꽤 맛있습니다. 여기 맛있고 가격도 저렴해요~ 시내갈때 자주 들리는 곳입니다 중화비빔밥이 젤 맛나요,"- 11:00~19:30
- 마지막 주문 19:00",연중무휴,중화비빔밥,유창짬뽕 / 매콤중화짜장 / 미니탕수육 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
큰기와집,"큰기와집은 팔공산 인근에 자리 잡고 있다. 이 덕분에 식전이나 식후에 팔공산 관광을 겸해 이곳을 찾는 사람이 많다. 대표 메뉴는 갖가지 한약재와 오리가 어우러진 한방오리백숙이다. 이 밖에 한방토종닭백숙, 닭도리탕, 해물닭찜 등도 맛볼 수 있다. 모든 메뉴는 포장이 가능하다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋고, 예약이 가능하다.",,대구광역시 동구 서촌로 106 (송정동),가능,,,,,,,,,"- 11:00~21:00
- 마지막 주문 20:40",매주 화요일,한방 백숙,오리해신탕 / 눈꽃닭도리탕 / 해물닭찜 등,https://www.instagram.com/biggiwajip/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
붐비네,"붐비네는 눈에 띄는 간판도 없는 초등학교 앞에 있는 작은 떡볶이집이다. 양배추가 많이 들어간 달달한 떡볶이는 자극적이지 않아 부담 없이 먹을 수 있다. 여기에 대구 명물 납작 만두를 섞어 먹으면 최고의 맛을 느낄 수 있다. 그 외의 메뉴로 콜팝과 떡꼬치, 슬러쉬 등의 메뉴가 준비되어 있어 어렸을 적 추억도 새록새록 떠오르는 듯한 느낌을 받을 수 있다.",,대구광역시 동구 파계로6길 54 (지묘동),불가능,,,,,,,,,11:00~19:00,매주 일요일,떡볶이,납작만두 / 순대 / 콜팝 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카페담,"카페 담은 넓은 주차 공간과 깔끔한 인테리어가 특징인 카페이다. 카페 옆에는 시원한 물이 흐르는 계곡이 있다. 이 덕분에 계곡의 경치를 즐기며 휴식할 수 있다. 이곳에선 음료를 주문 시 베이커리를 무료로 제공한다. 아이스 카페라떼, 아메리카노 등 다양한 음료 메뉴와 함께 풍경을 즐길 수 있는 곳으로, 가족이나 친구들과 함께 방문하기 좋다.",,대구광역시 달성군 유가읍 유가사2길 15,가능,,,,,,,,,"- 09:30~20:00
- 마지막 주문 19:30",연중무휴,아메리카노,카페라떼 / 대추차 / 녹차라떼 등,https://www.instagram.com/cafe___dam/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹양구이 두산동점,"녹양구이 두산동점은 생고기와 다양한 한식 메뉴를 즐길 수 있는 곳이다. 뭉티기, 대창, 육회 등 신선한 재료로 만든 메인 메뉴 외에도 석쇠불고기, 곱창전골, 낙곱전골 등 풍성한 국물 요리가 인기다. 특히 된장찌개는 집된장처럼 깊은 맛이 특징이며, 기본 반찬도 푸짐하게 제공되어 식사와 술안주로 모두 적합하다.",,대구광역시 수성구 무학로17길 21 (두산동),가능,,,,,,,,항상 사람들이 많아서 다른곳을 이용하다가 우연히 방문했는데 사람들이 많은 이유가 있었습니다. 맛있고 친절하고 밑반찬도 좋고 널직해서 좋았습니다. 수성못 근처에서 생고기나 육회가 먹고 싶다면 추천드립니다,12:00~24:00,연중무휴,생고기,육회 / 등골 / 간 / 천엽 / 옛날불고기 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꽃잔디식당,"꽃잔디식당은 대구광역시 달성군 다사읍 매곡리에 있다. 아구찜과 꽃게찜을 주력으로 하는 대구 달성군의 한식 전문점이다. 예스러운 외관과 깔끔한 분위기의 인테리어가 눈에 띈다. 아구찜은 쫄깃한 아구와 아삭한 콩나물이 어우러져 깊은 맛을 내며, 꽃게찜은 살이 통통한 꽃게로 만들어져 별미로 꼽힌다. 매운맛 조절이 가능해 취향에 맞게 선택할 수 있으며, 돌솥밥과 함께 먹으면 더욱 풍성한 식사를 즐길 수 있다. 대구 지하철 2호선 다사역과 다사 IC에서 가깝다. 인근에는 달성문화센터와 다사 근린공원, 강정보 유원지, 강정보 디아크 광장이 있다.",,대구광역시 달성군 다사읍 달구벌대로 750,가능,,,,,,,,,"[평일]
- 11:10~20:50
- 준비시간 14:00~17:00
- 마지막 주문 19:00
[주말]
- 11:10~20:30
- 준비시간 14:00~16:30
- 마지막 주문 18:40",매주 월요일 / 화요일,꽃잔디아구찜,꽃게찜 / 순살아구찜 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
빌리웍스,"빌리웍스는 베이커리와 카페, 전시와 공연이 공존하는 문화예술 복합공간이다. 인기 메뉴인 빌리웍스 라떼와 아몬드 딥 초코가 인기 있으며, 커피는 산미가 있는 편이다. 카페 내부에는 단체석이 있어 각종 모임에 적합하다. 이곳 주변에는 대구 근대역사관 등 대구의 유명 관광지가 모여 있어 연계 여행에 나서기 적합하다.",,대구광역시 북구 고성북로10길 41 (고성동3가),가능,,,,,,,,여기 과일타르트 진짜 맛있어요 많이 안달고 예전엔 배달도 되서 좋았는데 이젠 배달 안되서 아쉬워요,"- 12:00~22:30
- 마지막 주문 22:10",연중무휴,빌리웍스 라떼,아메리카노 / 에스프레소 / 콜드브루 / 카페라떼 등,https://www.instagram.com/billyworks_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밥을짓다,"밥을짓다는 팔공산 인근에 자리 잡은 한정식 맛집이다. 계절별로 제공되는 한정식 세트와 함께 전복죽, 더덕구이, 한우육회물회 등 다양한 메뉴를 즐길 수 있다. 특히 전복죽은 부드럽고 고소하며, 넓은 주차장과 깔끔한 내부, 가족 모임에 적합한 분위기로 인기가 높다.",,대구광역시 동구 팔공산로9길 6-1 (덕곡동),가능,,,,,,,,,"- 11:00~21:00
- 마지막 주문 20:00",연중무휴,봄 1인 한정식 세트,여름 1인 세트 / 가을 1인 세트 / 겨울 1인 한정식 세트 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
싱싱뽈락회,"싱싱뽈락회 수성못점은 수성못 근처에서 신선한 해산물을 맛볼 수 있는 곳으로, 특히 뽈락세꼬시와 돌문어가 인기 메뉴이다. 세꼬시는 비린내 없이 고소하고, 돌문어는 부드럽고 쫄깃한 식감이 특징이다. 해산물 모듬 메뉴와 점심특선도 다양하게 준비되어 있으며, 주차장이 넓어 단체 모임에 적합하다.",,대구광역시 수성구 수성못2길 17 (두산동),가능,,,,,,,,,"- 월요일~목요일 11:30~24:00
- 금요일~토요일 11:30~01:00",매주 일요일,뽈락세꼬시,잡어회 / 물회 / 회덮밥 / 돌문어 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔공산 닭갈비,"팔공산 닭갈비는 파계사 초입구에 위치한 닭갈비 전문점이다. 당일 도축된 신선한 국내산 닭다리살을 양념하여 2일 숙성 후 손님에게 제공하는 철판닭갈비가 대표메뉴이다. 양이 푸짐하여 모자람 없이 맛볼 수 있다. 치즈사리, 우동사리 등을 추가하여 먹을 수 있으며, 닭갈비를 모두 먹은 후 날치알이 듬뿍 들어간 날치알 볶음밥으로 마무리를 하면 된다.",,대구광역시 동구 파계로 154-8 (지묘동),가능,,,,,,,,,"- 11:00~21:00
- 준비시간(평일) 14:00~16:30
- 준비시간(주말) 05:00~16:30",매주 월요일,철판닭갈비,날치알 볶음밥 / 치즈 고르곤졸라 피자 / 볶음밥 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명동돼지한마리,"명동돼지한마리는 대구광역시 수성구 범어동에 있다. 깔끔한 외관과 예스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대표 메뉴는 국내산 돼지를 손질해 나오는 돼지갈비이며, 갈비찜, 김치찌개, 된장밥, 통갈비수육 등도 판다. 면 요리로는 물냉면, 비빔냉면, 잔치국수, 비빔 소면이 준비되어 있다. 파동IC와 대구 지하철 3호선 수성구민운동장역에서 가깝다. 주변에는 아르떼 수성랜드와 고산골 공룡공원이 있다.",,대구광역시 수성구 범어천로 48 (범어동),,,,,,,,,,12:00~22:30,매달 셋째 화요일,돼지갈비,갈비찜 / 통갈비수육 / 물냉면 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안심농장직영식육식당,"안심농장직영식육식당은 대구광역시 동구 숙천동에 있다. 깔끔함이 돋보이는 외관과 예스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대표 메뉴는 당일 도축한 신선한 한우를 손질한 생고기다. 이 밖에 로스구이, 뭉티기, 육회, 장국시 등도 준비되어 있다. 무엇보다 합리적인 가격에 품질 좋고 맛도 좋은 한우를 먹을 수 있다는 게 매력적이다. 경산IC에서 가깝고, 주변에 팔공산 도립공원과 팔공산케이블카가 있다.",,대구광역시 동구 대경로 1 (숙천동),가능,,,,,,,,,11:00~21:00,연중무휴,생고기,로스구이 / 육회 / 장국시 / 볶음밥 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고모역쭈꾸미,"고모역쭈꾸미는 대구광역시 수성구 고모동에 있다. 깔끔한 외관과 예스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 대표 메뉴는 매콤한 맛이 일품인 주꾸미다. 쭈꾸미는 비린내 없이 탱글탱글하며, 차돌박이를 추가하면 풍미가 더욱 깊어진다. 볶음밥은 꼭 먹어봐야 할 필수 메뉴로, 고소한 맛이 일품이다.",,대구광역시 수성구 고모로 188 (고모동),가능,,,,,,,,,"- 11:30~21:30
- 준비시간 15:00~17:00
- 마지막 주문 14:30",매주 월요일,쭈꾸미,볶음밥 / 차돌버섯된장찌개 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호텔인터불고 엑스코,"현재 현대S라이프 그룹 계열사인 인터불고 엑스코는 대구 북구 엑스코(대구전시 컨벤션 센터) 맞은편에 위치하고 있으며, 2008년 개업하여 대구의 대표적인 도심 속 특급호텔로 자리매김했다.
2020년부터 시작된 리노베이션을 통해 다양함을 바탕으로 한 감성과 휴식이 공존하는 고객의 라이프스타일을 분석한 복합문화공간으로 재탄생했다. 호텔 내 곳곳에 위치한 예술품과 음악적 요소는 고객에게 창의적 사고를 유발하며, 다양한 디자인적 공간구성은 젊은 층의 라이프스타일을 반영했다.",,대구광역시 북구 유통단지로 80 (산격동),가능,15:00,11:00,,283실,디럭스 트윈 / 디럭스 더블 / 패밀리 트윈 / 패밀리 더블 / 주니어 스위트 / 슈페리어 스위트 / 프리미어 스위트 / 로얄 스위트,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,5성급 승격기념으로 고고싱~◡̎ 외부와 달리 내부가 훨씬 좋았어요 굳b 헤븐리풀이랑 반얀트리가 유명해서 체크인하자마자 풀장으로 갔는데 갬동감동ㅜ 왜여기서 웨딩하는지 이해가 되더라구요 어푸어푸 놀다가 바로옆 사우나에서 깨끗히 씻고 숙소갔는데 찐 호캉스 였어여 강추강추 좋아좋아 좋아요 대구 처음 가시는 분들 가성비 호텔 이용 하시려면 여기 가세요!!!????!!!!!!,,,,,http://www.ibhotel.com,,,,,,,,,,,장애인 전용 주차구역 있음_무장애 편의시설,,라그라나 / 동보성 / 쉬어담 / 로스트 리트릿 / 개정,야외수영장 / 사우나 / 피트니스 / 웨딩홀 / 컨벤션 등,엘리베이터 있음,"장애인 전용 객실 있음(2실,요청시에 개방)",,,,,,,,,,,,,,,,,,,,
팔공산맥,"팔공산맥은 대구광역시 북구 태전동에 있다. 현대적인 외관과 깔끔한 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 돼지갈비는 초벌되어 나와 편리하게 즐길 수 있으며, 돌솥밥이나 물냉면과 함께 조합하면 더욱 풍성한 식사가 된다. 칠곡IC와 대구 지하철 3호선 구암역에서 가깝다. 주변에는 운암지 수변공원과 신전뮤지엄이 있다.",,대구광역시 북구 칠곡중앙대로 329 (태전동),가능,,,,,,,,,11:00~23:00,연중무휴,과실숙성 돼지갈비,허브숙성생삼겹살 / 돌솥밥 / 한우쇠고기국밥 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔공노을,"팔공노을철판구이는 팔공산 자연 경관 속에서 즐기는 철판구이 맛집이다. 지리산 흑돼지 갈매기살과 목살, 토종 닭 등 다양한 메뉴를 제공하며, 특히 장작불로 구워낸 고기의 풍미가 일품이다. 내부에는 단체석이 마련돼 있어 각종 모임이 가능하다. 그리고 매장 전용 대형주차장이 완비되어 있어 주차걱정 없이 편안한 식사가 가능하다는 장점이 있다. 음식점 인근에 팔공산이 있어 식전이나 식후에 연계 여행에 나서기 좋다.",,대구광역시 동구 서촌로 98-1 (송정동),가능,,,,,,,,,"- 11:00~22:00
- 마지막 주문 21:00",연중무휴,삼겹살,오리한마리 / 지리산흑돼지 목살 / 지리산흑돼지 갈매기살 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벽강물회,"벽강물회식당은 대구광역시 북구청 인근에 위치한 해물요리 전문점이다. 이곳은 넓은 홀과 룸이 마련되어 있어 단체 방문이 용이하며, 주차 공간이 넉넉해 차량 이용 고객에게도 편리하다. 신선한 재료로 만든 물회와 푸짐한 반찬이 조화를 이루며, 물회와 우럭탕이 유명한 곳이다. 이외에도 모듬회와 자연산 도다리회, 광어회 등도 있고, 초밥과 대구탕 등의 식사류도 판매하고 있다.",,대구광역시 북구 침산남로 62 (노원동1가),가능,,,,,,,,,11:00~21:00,연중무휴,물회,우럭탕 / 우럭탕지리 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
걸리버막창,"걸리버막창은 대구광역시 북구 노원동1가에 있다. 깔끔한 외관과 포장마차가 연상되는 인테리어가 눈에 띈다. 대막창은 통통하고 고소하며, 삼겹살과 목살도 부드럽고 맛있다. 버섯된장찌개는 고기와 함께 먹으면 환상적인 조합을 이루며, 포장 시에도 가게에서 먹는 것처럼 푸짐하게 제공한다. 북대구IC와 대구 지하철 3호선 북구청역에서 가깝다. 주변에는 대구근대역사관과 달성공원 동물원이 있다.",,대구광역시 북구 옥산로 53 (노원동1가),,,,,,,,,대구 북구에서 제일 맛있는 막창곱창집으로 손 꼽힙니다! 현지인들도 자주 먹고 놀러오신 분들도 많은 맛집이니 꼭 한번 방문해보세요! 와..다들 왜 막창은 대구라고 하는지 이번에 가서야 알게 되었습니다.. 정말 인생막창집... 한번 더 꼭 가고 싶어요.. 막창을 먹기위해 대구까지 갈 수 있을 정도??? 대구 여행예정 이신분들은 막창은 무조건 필수! 근데 주말이나 월요일에는 휴무가 있을 수도 있으니 꼭 검색해보고 방문하시는 걸 추천드릴게요 ㅎㅎ,15:30~24:00,매주 일요일,막창,생삼겹 / 생목살 / 생가브리살 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하롱베이,"하롱베이는 대구광역시 수성구 두산동에 있다. 현대적인 감각이 돋보이는 외관과 고급스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다. 신선한 재료로 만든 월남쌈과 초대형 반세오, 새콤달콤한 분짜, 깊은 육수의 소고기쌀국수가 인기 메뉴이다.",,대구광역시 수성구 무학로 97 (두산동),가능,,,,,,,,,"- 11:00~21:30
- 마지막 주문 20:50",연중무휴,월남쌈,반세오 / 분짜 / 소고기쌀국수 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국일생갈비,"국일생갈비는 대구 서문시장역 인근에 위치한 한우 생갈비 전문점이다. 1975년부터 시작한 이곳은 갈비가 생각날 때마다 찾아준 손님들 덕분에 반백 년의 전통을 자랑하는 식당이 되었다. 특생갈비, 안창살, 양념갈비 등 다양한 부위를 제공한다. 특히 생갈비는 부드럽고 기름진 맛이 일품이며, 양념갈비도 진하지 않은 양념으로 고기 본연의 풍미를 잘 살렸다.",,대구광역시 중구 국채보상로 492 (동산동),가능,,,,,,,,,"- 11:30~21:30
- 준비시간 15:00~17:00
- 마지막 주문 20:30",연중무휴,한우 특생갈비,한우 생갈비 / 한우 안창살 / 한우 양념갈비 등,http://www.gugilgalbi.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브런치달랏,"브런치달랏은 대구광역시 동구 봉무동에 있다. 모던한 분위기의 외관과 인테리어가 돋보이는 카페다. 다양한 음료는 물론, 베이커리와 브런치 메뉴가 가득하다. 버섯 불고기 리조또, 차돌박이 샐러드 파스타 등 메뉴가 다양하며, 바닐라라떼와 카페라떼 등 음료도 맛볼 수 있다. 파군재 IC에서 가깝고, 인근에 팔공산도립공원, 신숭겸장군유적지, 대구섬유박물관이 있다.",,대구광역시 동구 팔공로 400-6 (봉무동),가능,,,,,,,,,"- 10:00~22:00
- 마지막 주문 21:30",연중무휴,아메리카노,카페라떼 / 브런치플레이트 / 라구소스 리카토니 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메종듀미디,"메종듀미디는 대구광역시 동구 송정동에 있다. 현대적인 감각의 외관과 고급스러운 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 있어 각종 모임을 하기 좋다. 2층 테라스에서는 탁 트인 풍경을 감상할 수 있다. 대표 메뉴는 수제 먹물 치아바타 듀 미디다. 파군재 IC에서 가깝고, 인근에 신숭겸장군유적지, 대구섬유박물관이 있다.",,대구광역시 동구 서촌로21길 11 (송정동),가능,,,,,,,,,"- 11:00~23:00
- 마지막 주문 22:10",연중무휴,메종라떼,아인슈패너 / 메종 연유라떼 / 메종 플레이트 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온기정,"온기정은 대구광역시 수성구 두산동에 있다. 이국적인 멋이 풍기는 외관과 세련된 인테리어가 눈에 띈다. 신선한 재료로 만든 바삭한 튀김과 시원한 붓카케 냉우동이 특히 인기가 있으며, 전용 주차장과 깔끔한 내부 시설로 편안한 식사를 할 수 있다. 합리적인 가격대와 정갈한 분위기로 일상적인 방문부터 특별한 날까지 모두 만족스러운 경험을 제공한다.",,대구광역시 수성구 수성못6길 9 (두산동),가능,,,,,,,,,"- 11:00~21:30
- 준비시간 15:00~16:00
- 마지막 주문 20:45",연중무휴,텐동,스테키 텐동 / 붓카케우동 / 온기 덴푸라 정식 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라한참치,"아라한참치는 대구광역시 수성구 덕화중학교 인근에 위치한 일식당이다. 황다랑어나 새치류가 아닌 참다랑어 비율이 80% 이상인 참치회 전문점이다. 이곳의 대표메뉴는 최상의 품격을 자랑하는 특수부위들로 참치를 제대로 즐길 수 있는 아라한 참치이다. 참다랑어 1급 배꼽도로, 가마도로, 울대, 볼살, 참다랑어 1급 뱃살 등이 제공되며, 원하는 부위가 있을 경우 그 부위로 대체 주문이 가능하다. 또한 대중적으로 인기가 높고 품질이 뛰어난 부위들을 모아 가격 대비 만족도가 높은 코스인 스페셜 코스, 참치의 다양한 참맛을 느낄 수 있는 골드코스 등도 있어 취향에 맞게 선택하여 먹을 수 있다.",,대구광역시 수성구 들안로 41 (상동),가능,,,,,,,,,"- 14:00~24:00
- 마지막 주문 22:00",연중무휴,아라한참치,스페셜코스 / 골드코스 / 명가코스 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
