,place,info,문의 및 안내,홈페이지,주소,이용시간,이용요금,체험프로그램,review,휴일,주차,입장료,화장실,이용가능시설,주차요금,접근로,출입통로,보조견 동반,체험 프로그램,체험가능 연령,주차 요금,수용인원,할인 정보,시설이용료,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,부대시설,사우나실 여부,규모,캠프파이어 여부,바비큐장여부,장애인 주차 안내,엘리베이터,점자 블록,수유실,"영유아가족
기타상세",휠체어,매표소,영업시간,대표메뉴,취급메뉴,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,객실,공용 PC실 여부,지체장애 기타 상세,청각 장애 기타상세,시각장애 기타상세,안내 요원,주요시설,보유장비,대중 교통,지정현황,이용 시기,코스안내,점자 홍보물,유아용보조의자,판매 품목,좌석수,입점브랜드,휘트니스 센터 여부,노래방 여부,유모차,청각장애용 객실,관람석,대여안내,뷰티시설여부,유도안내 설비
69,보길도,"보길도는 일찍이 고산 윤선도가 배를 타고 제주도로 가던 중 심한 태풍을 피하기 위해 이곳에 들렀다가 수려한 산수에 매료되어 이곳 동명을 부용동이라고 명명하고 머물 것을 결심했던 곳이다. 10여 년을 머물면서 세연정, 낙서재 등 건물 25동을 짓고 전원생활을 즐겼으며, 그의 유명한 작품 「어부사시사」도 이곳에서 태어났다. 이 섬에는 은빛모래 혹은 자갈밭이 펼쳐진 해수욕장이 세 곳 있어 여름피서지로도 인기가 있다. 그중 섬 남쪽에 위치한 예송리 해수욕장은 모래 없이 작은 자갈밭이 1.4㎞나 펼쳐져 있어 천연기념물인 예송리 상록수림과 어우러져 더욱 아름답다.
아열대성 식물이 무성하게 자라 투명한 바다와 신비스러운 조화를 이루며, 특히 보길도로 향하는 남해 뱃길에는 푸른 바다 위에 크고 작은 섬들이 펼쳐져 있어 아름다움을 더한다. 이곳에는 또한 고산 윤선도 유적 외에도 조선 숙종 때 우암 송시열의 글씨가 새겨진 바위도 있다. 우암은 세자 책봉 문제로 상소를 올렸다가 왕의 노여움을 사 83세의 노령으로 제주도로 귀양가게 되었는데, 도중에 보길도 백도리 끝 바닷가의 병풍처럼 생긴 바위에 탄식의 글을 새겨 넣었다고 한다. 이 바위를 ‘글씐바위’라고 한다. 그 밖에도 예송리 일출과 보족산, 선창리 일몰, 부용리 동백림 등도 빼놓을 수 없는 볼거리가 있다.",,완도문화관광 https://www.wando.go.kr/tour,전라남도 완도군 보길면,상시 개방,,,"부부 동반으로 완도 화흥포항에서 차를 가지고 노화도항에 내려 차량으로 보길도를 한 바퀴 돌아 보았다. 짧은 시간에 드라이브를 하면서 몇 곳만 보았기에 아쉬움이 많았다. 보길도까지 길이 너무너무 멀었지만, 고즈늑한 세연정의 모습과 예송리 몽돌 해변의 바닷소리가 긴 여운을 남긴 곳이예요. 해남 땅끝에서 배를 30분정도 타고 들어가면 보길도가 나온다. 세연정은 전체적으로 규모가 크지는 않고 아담한거 같아요. 주변 경치가 예술이에요. 옛스러운 풍경이 넘 이뻐요. 도시와의 단절 고요 정막 지금도 유지되고 있으면 좋겠네 세연정이 월요일은 휴관일이에요. 여러 개의 연못 모두 보고 오세요. 보길도 풍광이 참 아름답네요~ 꼭 가보고 싶네요 정말 너무나 아름다운자연경관과 역사가 살아 숨쉬는 곳입니다. 보길도의 낙서재의 앉아 윤선도의 숨결을 느끼며 조용히 사색에 잠기고 싶어요 윤선도...보길도...책에서만 보던곳 꼭! 가보고 싶어요 ktx 매거진에서 보고 꼭 가보고 싶은 섬 목록에 올려놨네요. 방문객 밀도가 높지 않을 것 같아 마스크만 챙겨가면 아무 문제 없을 것 같아요.",연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,묘도 봉화산 전망공원,"광양만과 여수산단을 한 눈에 조망할 수 있는 묘도 봉화산 전망공원은 이순신대교 홍보관에서 도보로 약 20분 거리에 위치하고 있다. 묘도는 고양이 섬으로 광양만의 정 중앙에 자리 잡은 섬으로 섬의 모양이 고양이를 닮았다. 고양이가 많이 살았다 하여 묘도라 부르기도 한다. 고양이 섬은 여수 엑스포 이전까지 도선을 이용하여 진입하던 섬이었으나 지금은 여수와 묘도를 잇는 묘도대교가 완성되고 다시 묘도에서 광양시로 연결되는 이순신 대교가 완공되면서 육지나 다름없는 육지섬이다.
이곳에서는 야간에 주변 여수국가산단과 이순신대교, 광양항 일대의 야경을 조망할 수 있다. 전망대에서 묘도대교 넘어 여수산단과 부암산, 영취산, 호랑산, 전봉산까지 조망이 가능하다. 또한 묘도 봉화산(해발246m) 정상에는 문화재청과 전문가들의 자문들 받아 복원한 봉수대와 전망대 등이 조성돼 주변 경관을 한 눈에 바라볼 수 있다.
봉화산 중간까지는 차로 이동할 수 있지만 전망대까지는 차로 이동할 수 없다. 주차장에서부터 정상까지는 600m로 도보 약 20여분 소요된다.",,여수관광 https://www.yeosu.go.kr/tour,전라남도 여수시 묘도동 산160,상시 개방,,,,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,두문 마을,"한국의 베니스를 꿈꾸는 돌산도의 죽포는 여수 돌산 향일암 가는 길목에 위치하고 있으며 바다 풍경이 아름다운 숨은 여행명소로 마을 골목길 변화를 비롯해 바닷가 방파제에 색채감이 있는 조형물을 세워 포토존을 조성하였다.
벽화마을을 둘러보기 전에 마을 안내도를 숙지하고 시작하면 좀더 편안한 관광에 도움이 된다. 버스정류장에서 부터 시작한 골목투어에 이어 죽포항까지 도보로 이동하면 등대가 있는 방파제와 인도교, 타일벽화 포토존을 둘러볼 수 있으며, 죽포항과 방파제를 잇는 아름다운 바람이 부는 다리라는 뜻의 아치형 다리 미풍교에서 바라보는 죽포항의 풍경은 조용하고 아름답다. 두문포방파제에서 보이는 섬은 불무섬으로도 불리는 야도로 간조가 되면 바닷길이 열려서 걸어갈 수 있다. 이 섬에는 용굴이 있어 옛날에 용이 살았다는 전설이 내려온다.
인근의 관광지로 향일암이 차량 10분 정도 거리에 있고 방죽포해수욕장이 인접해 있다.",,여수관광문화 https://www.yeosu.go.kr/tour,전라남도 여수시 돌산읍 죽포리,,,,여유롭게 힐링하고 싶을 때 가면 좋을 곳 인듯 합니다. 두문마을 방파제에 다양한 조형물과 포토존이 있어서 좋습니다.,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방,,,,,,,,,,,,,,
72,울돌목 스카이워크,"울돌목은 임진왜란 때 이순신장군이 왜군과 싸워 승전한 명량해전의 격전지이다. 명량해협의 폭은 가장 좁은 부분이 293m, 수심은 19m, 물살이 빠르고 소리가 요란하여 바닷목이 우는 것 같다고 하여 울돌목이라 한데서 명량이라는 이름이 유래되었다. 울돌목 스카이워크는 조선 수군의 13척을 가지고 왜군 133척과 대결을 하여 세계 해전사상 유례엾는 대전승을 이룬 명량대첩을 기리고자 개설 되었다. 2021년 7월 준공되었으며 총길이 111m, 직선길이 32m, 폭 2m, 스카이워크 놀이 25m이며 스카이워크의 입구와 출입구 사이에 함께 조성된 판옥선 돛을 형상화한 조형물은 야간 경관시설이 설치되어 밤이 되면 아름다운 조명이 켜진다. 우리나라에서 조류가 가장 센 울돌목의 회오리 바다를 생생하게 느낄 수 있도록 바다위에 설치된 산책로 겸 전망대로 강강술래를 모티브로 해서 둥근형태로 조성하였다. 바다 위를 걷는 느낌을 주는 스카이워크는 걷다보면 바람이 쎈 날은 다리가 흔들리는 느낌을 받기도 한다. 입구와 출구가 분리되어 있어서 관람동선이 겹치지 않는다. 스카이워크의 바닥은 아래를 내려다 보며 걸을 수 있도록 메탈 철망과 강화유리, 천연목재로 바닥을 설치하였다. 울돌목 물살시간표를 확인하고 방문하면 울돌목의 회오리도 감상할 수 있다.",,www.haenam.go.kr,전라남도 해남군 문내면 관광레저로 12,09:00~18:00 (기상악화시 출입 통제),,,정말 울돌목 너무 좋아요 명량대첩축제에 갔어요 이순신장군님과 우리 조상님들 희생에 너무 감사합니다 다리는 생각보다 크지는 않지만 걸어다니면서 바다를 내려다 보면 돌아가는 바다를 볼수있습니다. 계속 보다보면 머리가 어질 어질 하고 한군대서만 생기는 것이 아니라 여러군대서 동시 다발적으로 일어나는 소용돌이를 보면 빨려들것같은 느낌이 들어요. 한번 들러볼만합니다. 케이블카와 묶어서 함께 관광하면 좋을거 같아요. 울돌목 쪽에서 타고 건너갔다와서 함께 관광했습니다. 경치가 너무 좋았습니다. 해질녙에 가면 더 좋을거 같아요. 스카이 워크 돌아보겠다고 열심히 다가 갔더니 올라서서 몇발자국걷고는. 돌아었어요 난간 밖으로 바닷물이 빙글빙글 돌면서 흐르는 모습이 무서움을 느끼면서도 볼수있었는데 스카이워크바닥이. 유리이기에 도저히 그위로는 푸욱 빠져버릴듯해서 걸을수가 없었어요,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,로스티아,"갯벌과 바다풍경이 아름다운 여수 돌산 앞 바다를 바라보며 카페와 다이닝을 즐기는 브런치 맛집이다. 잔디정원을 갖춰 애견동반이 가능하며 파란 하늘과 바다 그리고 바닷가 수국이 아름다운 카페이기도 하다. 영화 ‘잠적’, tvN 예능 ‘주말사용설명서’의 촬영 장소이다.
카페 내부는 1층, 2층으로 되어 있으며 야외정원이 있다. 카페 2층에는 바다 방향으로 빈백쇼파와 테이블을 배치해서 바다를 조망하면서 음료와 음식을 즐길 수 있다. 바다를 배경으로 야자나무 사이에 포토존과 그네를 설치하여 여수 바다의 풍경을 마음껏 즐길 수 있다. 간조와 만조때에 따라 카페 앞 바다 풍경이 달라지므로 원하는 경치를 보기위해 물때 시간을 확인하고 방문하는 것도 좋다.",,,전라남도 여수시 돌산로 3116,,,,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~19:40 (마지막 주문 19:00),돌문어 샥슈카,차돌마라크림 리가토니 / 로스티아 돌문어버거 / 딱새우크림파스타 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,영산강둔치체육공원,"나주를 지나는 영산강 둔치에 조성된 체육공원이다. 이 공원은 축구장, 농구장, 야구장, 배구장, 인라인스케이트장, 크리테리움 경기장 등 다양한 종목을 즐길 수 있는 체육시설과 주민의 체력 증진을 위한 체조교실 등이 운영되며, 자전거 무료 대여소, 놀이시설 등도 갖추고 있다. 유채꽃 축제, 문화 장날 행사 등 많은 행사를 진행하고 자전거 대축제 등 다양한 이벤트가 이곳에서 열리고 있다.
체육시설뿐만 아니라 영산강 둔치의 대규모의 유채꽃밭을 즐기며 달릴 수 있는 전용 자전거 도로와 산책길, 무료로 차박 및 캠핑을 즐길 수 있는 여유 있는 공간까지 영산강을 즐길 수 있는 여러 시설을 마련하여 나주 시민들이 즐겨 찾는 장소이다. 또한, 영상강둔치체육공원의 지정된 전용 주차장이 있어 접근성이 편리하다.
영산강 너머로 영사포역사갤러리와 영산포 홍어거리, 영상강황포돛배돛배나루터가 바로 맞은편으로 강변을 따라 위치해 있다. 영산강둔치체육공원에서 도보 약 4분, 270m 거리에 나주철도공원이 있다.",,https://www.naju.go.kr/tour,전라남도 나주시 삼영동,상시 개방,,,양귀비꽃 아주 대박이였어요,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,카페 림,"위치는 담양이지만 광주와 가까워서 광주 인근 드라이브 코스로 알려져 있다. 푸른 대나무 숲 속 풍경을 배경으로 군더더기 없이 심플한 2층의 건물 외관이 조화롭다. 1층, 2층 전면 통창과 사방의 커다란 통창을 내어 개방감을 주었고, 대나무숲이 보이는 깨끗한 통창을 통해 보이는 창밖의 풍경은 한 폭의 동양화를 보는 듯 청량감을 준다.
테이블과 좌석의 배치는 조밀하지 않게 공간의 여유를 두어 편안함을 느끼며 휴식을 즐길 수 있다. 아기의자도 준비되어 있어 어린아이가 있는 가족단위 방문객도 불편하지 않고 단체석이 많아 친구들과 가족모임을 갖기 좋다.
카페 주변에 조성되어 있는 대나무숲을 배경으로 테이블을 놓아 야외에서도 대나무숲에서 불어오는 바람 소리를 들으며 음료와 디저트를 즐길 수 있다. 디저트류는 베이글, 바스크 치즈케이크, 스콘, 휘낭시에가 있다.",,,전라남도 담양군 송강정로 192,,,,,매주 일요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[평일]
- 11:30~19:00
- 마지막 주문 18:10
[주말]
- 11:30~20:00
- 마지막 주문 19:10",샤케코코,아메리카노 / 카페라떼 / 바닐라라떼 / 생강차 / 수박주스 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,카페하녹,"딸들이 홍보하고 아빠가 잔디깎고 엄마가 운영하는 카페라는 문구를 앞세운 규모 있는 한옥카페이다. 본채와 별채, 정자에서 식음이 가능하고 넓은 야외공간이 있어 반려견이나 아이들과 함께 오는 가족단위 손님이 많이 방문하고 있다. 이곳의 대표 메뉴는 쉐낄라토와 하녹라떼인데 하녹라떼는 콩가루로 만든 인절미맛 라떼이다. 디저트의 종류는 달달한 팥과 프랑스산 고메버터, 다양한 토핑으로 새로와진 모나카, 가래떡 와플, 인절미 와플, 인절미 크로와플 등 한국적인 음식 재료와 서양의 음식재료를 섞어서 새로운 맛을 제공하고 있으며 약과 등 한국 전통 디저트 종류도 판매하고 있다. 본채에서는 주문과 식음이 가능하고 아이들 출입이 가능하나, 별채의 경우는 노키즈존으로 아이들과 반려동물의 출입이 불가하다.",,https://www.instagram.com/cafe.ha_nok,전라남도 담양군 창평현로 714-40,,,,,매주 화요일,"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~19:00 (마지막 주문 18:30),쉐낄라또,인절미 와플 / 인절미 크로와플 / 아메리카노 / 오미자 에이드 / 하녹라떼 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,오미 은하수 마을,"구례 지리산 둘레길 18, 19 코스에 속하는 경로인 마을이다. 오미은하수마을은 풍수지리에서 말하는 배산임수의 마을로 기름진 들판이 펼쳐져 있고 섬진강이 서쪽에서 동쪽으로 흐르며 뒤에는 노고단에서 흘러내린 형제봉 능선과 왕시루봉 능선이 좌우로 펼쳐진다. 지리산 둘레길 마을 중 가장 많은 문화재를 보유하고 있으며 한옥 17호, 40여 채의 고택이 모여 마을을 이루고 민박을 운영하고 있다.
인근에 구례 3대 전통 가옥인 운조루, 쌍산재, 곡전재가 있고 그 중 하나인 쌍상재는 2018년 전라남도 민간 정원 5호로 지정되었다. 운조루는 조선시대에 지어진 고택으로 ‘구름 위를 나는 새가 사는 빼어난 집’이라는 뜻을 가지고 있으며 국가민속문화유산이다. 운조루에서 100m 떨어진 거리에 운조루 유물전시관이 있어 조선후기부터 300여 년간 구례 오미동에 터를 잡고 살아온 문화 류씨가의 역사와 삶의 모습을 살펴볼 수 있다.
지리산 둘레길 17코스의 종점이며, 18코스의 시작점인 오미은하수마을은 구례에서 하동으로 연결되는 19번 국도를 따라 동쪽으로 5㎞ 정도 떨어진 마을이다.",,구례여행 https://www.gurye.go.kr,전라남도 구례군 토지면 오미리,"09:00 ~ 18:00
※ 민박 이용시간 별도",,,,연중무휴,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,목포 관광특구,"2007년 구 도심인 북항부터 유달산, 원도심, 삼학도, 갓바위, 신도심 평화광장으로 이어지는 6.9㎞ 구간이 해양문화 관광특구로 지정됐다.
곳곳에 일제강점기의 흔적이 남아있어 구 목포 일본영사관 등과 목포근대역사문화공간에서 일제강점기의 역사를 훑어볼 수 있으며, 바다에도 볼거리가 즐비하고 과거와 현재가 공존하는 문화지대이기도 하다. 가장 볼거리가 많은 곳은 유달산권과 갓바위권으로 자연 경관뿐 아니라 목포자연사박물관, 국립해양유물전시관등 문화공간을 방문할 수 있다.
매년 4월이 되면 목포 유달산 봄 축제가 열려 시민과 함께 하는 수군 퍼레이드, 수군 문화 병영체험, 콘서트, 체험 프로그램 등 즐길 거리가 다양하며, 삼학도는 매년 열리는 목포항구축제의 무대이기도 하고 평소에는 육지와 연결된 다리를 따라 해안선을 벗 삼아 걷기 좋은 곳이다.
목포 사람들은 목포를 대표하는 다섯 가지의 맛이 있다고 이야기한다. 민어회, 갈치조림, 홍어삼합, 세발낙지, 꽃게살무침이 그것이다. 청정해역 목포의 신선한 해산물과 맛깔스러운 음식들뿐만 아니라 아름다운 자연 경관과 함께 근현대를 아우르는 역사와 문화를 경험할 수 있다.",,목포 문화관광 https://www.mokpo.go.kr/tour,"전라남도 목포시 북항, 유달산, 개항장권역, 삼학도, 갓바위, 평화광장 일원",상시 개방,,,일몰 보려고 고하도 까지 가는 케이블카를 시간 맞춰 타긴 했는데 날이 흐려서인지 기대했던 일몰 구경 못해 아쉬웠어요ㅠㅠ,연중무휴,가능,,있음 (남/녀 구분),"목포역, 목포항, 목포종합수산시장, 목포자연사박물관, 국립해양유물전시관, 삼학도공원, 목포근대역사문화공간 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,여수노블호텔,"노블호텔은 돌산대교를 지나 여수 가막만 바다가 끝없이 펼쳐지는 돌산도의 아름다운 경도 앞바다와 어촌마을을 전경으로 해돋이, 해넘이와 여수 밤바다 야경 등 다채로운 자연 풍경을 감상할 수 있는 휴식 공간이다. 오션뷰와 시티뷰, 온돌룸, 패밀리룸 등 방문객의 다양한 니즈에 맞춰 객실 타입을 선택할 수 있다. 기존 일반 고객을 위한 더블룸과 트윈룸, 디럭스룸 등 기본 객실은 기본이며 프라이빗 풀빌라룸은 취사가 가능하며 개인 수영장이 룸 안에 있어 물놀이와 휴식을 편안하게 즐길 수 있는 객실이다. 최대 인원 8명까지 수용이 가능해서 아이들이 있는 가족들이 모여 1박을 하며 숙박을 할 수 있다.
펫룸을 이용할 경우 6kg 이하의 반려견 최대 2마리까지 동반이 가능하나 맹견은 투숙이 불가하다. 식기, 배변판, 패드, 방석은 구비되어 있으며 반려동물용 사료는 별도로 준비해서 입실해야 하며 객실 내 반려견만 두고 외출은 절대 불가하다.
근처에는 여수 라마다호텔의 짚트랙과 여수해상케이블카가 있고 차량 이동 10분 거리에 핫플레이스인 여수낭만포차거리가 있어 다이내믹하고 낭만적인 여행을 즐기기 좋다.",,,전라남도 여수시 돌산읍 강남해안로 93,,,,,,있음,,,,,,,,,,,,,,15:00,익일11:00,,,68객실,온라인 예약 / 전화 예약,,,,,,,,,,,,,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,청산도,"청산도는 산, 바다, 하늘이 모두 푸르러 청산(靑山)이라 이름 붙여진 작은 섬이다. 빼어난 자연 경관으로 인하여 1981년 12월 23일 다도해해상국립공원으로 지정되었고 2007년 아시아 최초 슬로길로 선정된 청산도는 천천히 걸으면서 느림의 미학을 온몸으로 느끼고 체험할 수 있는 곳이다. 2012년 CNN선정 대한민국에서 가장 아름다운 섬 33선(4위), 2017년 한국인이 꼭 가봐야 할 한국 관광 100선에 선정되는 등 전국 슬로시티를 대표하는 명소로서 걷기 좋은 섬으로 이름나 있다.
청산도의 슬로길은 전체 11코스, 17개의 길, 42.195㎞로 이루어져 각 코스마다 독특한 테마를 느낄 수 있으며, 포토존은 물론 푸른 바다, 푸른 산, 구들장논, 돌담길 등 다양한 관광요소를 즐길 수 있는 전국에서 유일무이한 걷기 좋은 섬이다.",,https://www.wando.go.kr/tour,전라남도 완도군 청산면 도청3길 30-1,상시 개방,,,"차를 못 태우고 와 아쉽네요 ㅎ 섬 전체가 느긋한 분위기여서 걷기만 해도 마음이 느긋해졌다. 슬로길 코스를 따라 천천히 걸으며 바다, 돌담길, 푸른 들판을 감상할 수 있어서 여행에 여유를 더해줬다. 7시 완도항을 출발하여 50분 후에 청산도항에 도착하니 무료 셔틀버스가 대기하고 있었다. 버스를 타고 서편제길 입구에서 내려 서편제길, 봄의왈츠 촬영 세트장, 화랑포길 1코스를 산책한 후 서편제주막에서 전복회무침, 쑥전에 막걸리 한잔씩 했다. 다랑이논에 노란 유채꽃들이 향을 뿌려주고 아래쪽에는 청보리가 초록색으로 깔려 있다. 항구에서 내려 걷다보니 군데군데 아름답게 핀 유채꽃이 반겨 줍니다. 이렇게 많은 유채꽃은 처음 인데 바다, 하늘, 꽃 눈에 선명하게 담아 봅니다. 이곳은 평화롭고 아름다웠습니다. 1박2일코스로청산도를다녀왔습니다 청산도의범바위와영화서편재어나온 유채꽃만발한예쁜곳이아직도눈에선합니다 들어가는식당마다맛집인청산도 다시한번가고싶습니다 4월 둘째날 다녀 온 멋진 섬. 듣던대로 슬로우&멋진 섬입니다. 유채꽃이 피기 시작하여 언덕에서 바라보는 유채꽃밭과 바다는 환상입니다. 아직 유채꽃은 피지않았는데 서편재길산책하며 좋은공기마시고 바다보면서 하루를 잘보냈다 아직 유채꽃이 피지는 않았지만 맑은 공기가 너무너무 좋았다. 서편제 촬영지를 산책하고 현지인 맛집이라는 중식당에서 간짜장과 짬뽕을 맛있게 먹고 대중교통이 원할하지 않는곳이라 항구까지 맑은공기 마시며 걸었다. 서편제길은 분홍색 낮달맞이꽃이 한들한들거리는 아름다운 산책로입니다. 길이 넓진 않아서 초보 운전자들은 주의하세요. 드라마 <봄날의 왈츠> 촬영지도 가깝습니다. 청산도는 야영장이나 캠핑장이 없나요? 아니면 혹시 바닷가 해변에 텐트치고 하룻밤 잘수있을까요?",연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,향교길20카페,"나주 읍성 서성문 근처에 위치한 2층 규모의 한옥카페로 단아한 한옥 마당의 분위기와 차를 즐기며 힐링하기 좋은 곳이다. 쌍화차, 대추차등 전통차와 호박죽, 단팥죽과 크림치즈 약과쿠키, 찹쌀약과, 가래떡구이등 전통 디저트류가 인기이다. 카페에서 판매하는 음료에 사용되는 과일청은 주인이 직접 담는다고 한다.
마당으로 통하는 솟을대문을 들어서면 멋진 소나무를 보며 야외에서 차를 마시는 테이블이 놓여있고, 실내 1층에는 신발을 벗고 올라서는 마루 위 좌식테이블이 놓여 있다. 편안하게 다리를 펴고 앉아 들어열개문 통창으로 카페 마당을 보며 즐기는 차 한잔은 여유롭기까지 하다. 카페 2층으로 올라가면 월정봉을 배경으로 서성문이 보인다. 향교길 20 카페는 소모임과 파티, 원데이 클래스 진행도 가능하며 한옥 숙박 시설도 운영한다고 한다.
나주 곰탕거리와 도보 7분 거리에 근접해 있어 나주 곰탕으로 식사를 하고 나주 읍성과 서성문을 천천히 둘러보고 차 한잔을 즐기러 방문하기 좋다.",,,전라남도 나주시 향교길 22-1 (서내동),,,,,네이버 / 인스타그램 공지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~18:00 (17:50 라스트 오더),쌍화차 / 대추차 / 수제연유라떼,커피류 / 라떼류 / 전통차 / 무설탕차 / 미니붕어빵 / 인절미와플 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,아모푸,"화양면에 위치한 대형 카페로 풀빌라도 같이 운영하고 있다. 건물이 서쪽을 바라보고 있기 때문에 석양이 아름다운 곳으로 여수 바다와 화양대교 뷰가 아름다운 카페이기도 하다. 좌석 어디든 오션뷰를 조망할 수 있도록 배치되어 있다. 카페 외관은 블루 그레이 컬러로 도색되어 있어 주변의 경관이 하나로 녹아들고 입구를 들어서면 벽면의 그래피티와 힙한 소품이 눈길을 끈다. 카페 내부는 노출 콘크리트 내벽과 파이프를 노출시키고 컬러감이 강렬한 패턴 쿠션과 원색의 소품, 그리고 우아한 커튼을 어색하지 않게 믹스 앤 매치하여 뛰어난 인테리어 감각을 보여준다. 루프탑에는 개방형 썬룸과 테이블이 놓여있어 여수 바다 바람과 해 질 노을을 커피 향과 함께 만끽할 수 있다.
아모푸는 스페셜티 커피전문점으로 원두도 입맛에 맞게 선택 가능하며 커피의 맛에 대해 상세한 설명을 들을 수 있어 아모푸의 커피 맛에 대한 자부심이 느껴진다. 아모푸의 시그니쳐 메뉴인 롱블랙 아메리카노는 기타 아메리카노보다 진한 맛과 향을 즐길 수 있다.
해가 지면 건물 외벽의 창 프레임 주변으로 노란 조명이 켜지며 이국적인 풍경을 선사한다. 이곳에서 연도교를 이용하여 바다 위를 드라이브하며 고흥까지 갈 수 있다.",,https://www.instagram.com/amofu_coffee,전라남도 여수시 화양면 화서로 43,,,,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~19:00,롱블랙,카페라떼 / 카푸치노 / 바닐라빈 라떼 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,흑두루미상회,"순천의 관광두레 주민사업체 <남쪽동네>는 흑두루미 굿즈들을 개발, 판매할 뿐만 아니라 지역 소상공인, 공예품, 청년창업가들의 상품들을 큐레이션 하여 판매하고자 흑두루미상회를 만들었다.흑두루미가 가지고 있는 '행운'과 ‘가족애' 등의 스토리를 이용하여, 여행객들에게 순천의 좋은 기운을 담은 행운의 부적이나 마음의 위안을 얻을 수 있는 기념품들을 만들고자 지속적으로 노력하고 있다.",,,전라남도 순천시 국가정원1호길 152-55 (풍덕동),"평일 오전10시-오후8시 / 토,일 : 오전10-오후9시",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
